物件名,住所,最寄り駅,賃料,間取り,面積
ＪＲ中央線 市ケ谷駅 10階建 築40年,東京都千代田区九段南４,['ＪＲ中央線/市ケ谷駅 歩7分\n東京メトロ半蔵門線/半蔵門駅 歩9分\n都営新宿線/九段下駅 歩11分'],10.8万円,,
ダイアパレス二番町,東京都千代田区二番町,['東京メトロ有楽町線/麹町駅 歩2分\n東京メトロ半蔵門線/半蔵門駅 歩6分\nＪＲ総武線/四ツ谷駅 歩11分'],13万円,,
東京メトロ半蔵門線 九段下駅 12階建 築25年,東京都千代田区九段南２,['東京メトロ半蔵門線/九段下駅 歩8分\nＪＲ中央線/市ケ谷駅 歩8分\n東京メトロ半蔵門線/半蔵門駅 歩12分'],12万円,,
プレール東神田,東京都千代田区東神田２,['ＪＲ山手線/秋葉原駅 歩9分\n東京メトロ日比谷線/秋葉原駅 歩9分\n都営新宿線/岩本町駅 歩5分'],11.8万円,,
東京メトロ日比谷線 築地駅 5階建 築5年,東京都中央区湊３,['東京メトロ日比谷線/築地駅 歩9分\n東京メトロ有楽町線/新富町駅 歩6分\n都営大江戸線/月島駅 歩8分'],10.9万円,,
スクエア日本橋,東京都中央区日本橋浜町３,['都営新宿線/浜町駅 歩5分\n東京メトロ半蔵門線/水天宮前駅 歩7分\n東京メトロ日比谷線/人形町駅 歩9分'],7.8万円,,
東京メトロ有楽町線 新富町駅 9階建 築40年,東京都中央区入船３,['東京メトロ有楽町線/新富町駅 歩2分\n東京メトロ日比谷線/築地駅 歩5分\nＪＲ京葉線/八丁堀駅 歩6分'],8.7万円,,
あさひ,東京都千代田区神田須田町１,['ＪＲ総武線/秋葉原駅 歩7分\nＪＲ山手線/神田駅 歩5分\n都営新宿線/小川町駅 歩4分'],9.5万円,,
麹町レジデンス,東京都千代田区麹町３,['東京メトロ有楽町線/麹町駅 歩1分\n東京メトロ半蔵門線/半蔵門駅 歩6分\nＪＲ総武線/四ツ谷駅 歩11分'],27万円,,
隅田リバーサイドタワー,東京都中央区新川１,['東京メトロ日比谷線/茅場町駅 歩9分\nＪＲ京葉線/八丁堀駅 歩8分\n東京メトロ半蔵門線/水天宮前駅 歩10分'],25.5万円,,
ＪＲ山手線 秋葉原駅 11階建 築5年,東京都千代田区東神田３,['ＪＲ山手線/秋葉原駅 歩8分\nＪＲ総武線/浅草橋駅 歩3分\n東京メトロ日比谷線/秋葉原駅 歩7分'],17.2万円,,
ＪＲ山手線 秋葉原駅 8階建 築45年,東京都千代田区東神田３,['ＪＲ山手線/秋葉原駅 歩7分\n都営新宿線/岩本町駅 歩7分\nＪＲ総武線/浅草橋駅 歩3分'],8万円,,
八丁堀東豊エステ－ト,東京都中央区新川２,['ＪＲ京葉線/八丁堀駅 歩2分\n東京メトロ日比谷線/茅場町駅 歩7分\n都営浅草線/日本橋駅 歩14分'],6.5万円,,
都営大江戸線 月島駅 地下2地上31階建 築34年,東京都中央区佃１,['都営大江戸線/月島駅 歩7分\n東京メトロ有楽町線/月島駅 歩7分\n東京メトロ日比谷線/八丁堀駅 歩15分'],15万円,,
GSハイム築地,東京都中央区湊２,['東京メトロ有楽町線/新富町駅 歩8分\nＪＲ京葉線/八丁堀駅 歩9分\n東京メトロ日比谷線/茅場町駅 歩15分'],12万円,,
ユニハイツ勝どき,東京都中央区月島３,['都営大江戸線/勝どき駅 歩6分\n都営大江戸線/月島駅 歩11分\n東京メトロ有楽町線/月島駅 歩11分'],6.8万円,,
月島2丁目戸建,東京都中央区月島２,['東京メトロ有楽町線/月島駅 歩2分\n都営大江戸線/勝どき駅 歩7分\nＪＲ京葉線/越中島駅 歩15分'],42万円,,
ＪＲ総武線快速 馬喰町駅 10階建 築42年,東京都中央区日本橋馬喰町１,['ＪＲ総武線快速/馬喰町駅 歩1分\n都営浅草線/浅草橋駅 歩4分\n都営新宿線/馬喰横山駅 歩5分'],10.6万円,,
リノスタイル月島,東京都中央区月島３,['東京メトロ有楽町線/月島駅 歩7分\n都営大江戸線/勝どき駅 歩9分\n東京メトロ日比谷線/築地駅 歩19分'],12万円,,
東京メトロ半蔵門線 神保町駅 6階建 築64年,東京都千代田区西神田２,['東京メトロ半蔵門線/神保町駅 歩6分\n東京メトロ東西線/九段下駅 歩7分\nＪＲ総武線/水道橋駅 歩7分'],7.5万円,,
東京メトロ半蔵門線 九段下駅 11階建 築44年,東京都千代田区九段北１,['東京メトロ半蔵門線/九段下駅 歩1分\n都営三田線/神保町駅 歩5分\n東京メトロ東西線/飯田橋駅 歩10分'],9.5万円,,
グランドメゾン九段,東京都千代田区九段北１,['東京メトロ半蔵門線/九段下駅 歩1分\n都営三田線/神保町駅 歩5分\n東京メトロ東西線/飯田橋駅 歩10分'],9.5万円,,
神保町サニービル,東京都千代田区神田神保町１,['都営三田線/神保町駅 歩2分\n都営新宿線/神保町駅 歩2分\n東京メトロ東西線/竹橋駅 歩9分'],67万円,,
マンション勝どき,東京都中央区勝どき２,['都営大江戸線/勝どき駅 歩1分\n東京メトロ有楽町線/月島駅 歩12分\n東京メトロ日比谷線/築地駅 歩17分'],8.8万円,,
東京メトロ有楽町線 月島駅 2階建 築2年,東京都中央区月島２,['東京メトロ有楽町線/月島駅 歩2分\n都営大江戸線/勝どき駅 歩8分'],45万円,,
銀座ダイヤハイツ,東京都中央区銀座８,['ＪＲ山手線/新橋駅 歩7分\n東京メトロ銀座線/新橋駅 歩7分\n都営浅草線/新橋駅 歩7分'],7.8万円,,
東京メトロ丸ノ内線 御茶ノ水駅 地下3地上41階建 築12年,東京都千代田区神田淡路町２,['東京メトロ丸ノ内線/御茶ノ水駅 歩4分\n東京メトロ千代田線/新御茶ノ水駅 歩3分\n都営新宿線/小川町駅 歩6分'],65万円,,
ＪＲ総武線快速 馬喰町駅 地下1地上6階建 築53年,東京都中央区東日本橋３,['ＪＲ総武線快速/馬喰町駅 歩1分\n都営新宿線/馬喰横山駅 歩1分\n東京メトロ日比谷線/小伝馬町駅 歩7分'],5.9万円,,
クラウン築地,東京都中央区築地７,['東京メトロ日比谷線/築地駅 歩7分\n東京メトロ有楽町線/新富町駅 歩10分\n東京メトロ日比谷線/東銀座駅 歩14分'],8.3万円,,
グラウス日本橋小網町,東京都中央区日本橋小網町,['東京メトロ日比谷線/人形町駅 歩4分\n東京メトロ半蔵門線/水天宮前駅 歩5分\n東京メトロ東西線/茅場町駅 歩8分'],40万円,,
ＪＲ総武線快速 馬喰町駅 15階建 築13年,東京都中央区東日本橋２,['ＪＲ総武線快速/馬喰町駅 歩5分\n都営新宿線/馬喰横山駅 歩4分\n都営浅草線/東日本橋駅 歩1分'],24万円,,
日本橋ミスモ,東京都中央区日本橋堀留町１,['東京メトロ日比谷線/小伝馬町駅 歩4分\n都営浅草線/人形町駅 歩5分\nＪＲ総武線快速/馬喰町駅 歩7分'],14万円,,
ライオンズ東日本橋,東京都中央区東日本橋２,['都営浅草線/東日本橋駅 歩1分\n都営新宿線/馬喰横山駅 歩5分\nＪＲ総武線快速/馬喰町駅 歩6分'],29.5万円,,
GRAN PASEO日本橋EAST　【グランパセオ日本橋イースト】,東京都中央区日本橋馬喰町２,['ＪＲ山手線/秋葉原駅 歩15分\nＪＲ総武線快速/馬喰町駅 歩1分\nＪＲ総武線/浅草橋駅 歩4分'],14.5万円,,
ダイヤモンドビル東日本橋第３,東京都中央区東日本橋３,['都営新宿線/馬喰横山駅 歩1分\nＪＲ総武線快速/馬喰町駅 歩2分\n都営浅草線/東日本橋駅 歩3分'],6.7万円,,
コニファーハウス,東京都千代田区西神田２,['東京メトロ半蔵門線/神保町駅 歩4分\n都営三田線/神保町駅 歩4分\n東京メトロ東西線/九段下駅 歩6分'],49万円,,
都営新宿線 馬喰横山駅 4階建 築69年,東京都中央区東日本橋３,['都営新宿線/馬喰横山駅 歩1分\n都営浅草線/東日本橋駅 歩3分\n東京メトロ日比谷線/小伝馬町駅 歩7分'],6.7万円,,
松本ビル,東京都千代田区神田紺屋町,['東京メトロ銀座線/神田駅 歩4分\nＪＲ山手線/神田駅 歩4分'],25万円,,
パークコート千代田富士見ザ・タワー,東京都千代田区富士見２,['東京メトロ東西線/飯田橋駅 歩3分\n東京メトロ東西線/九段下駅 歩11分\n東京メトロ有楽町線/市ケ谷駅 歩11分'],62万円,,
小田急麹町マンション,東京都千代田区四番町,['東京メトロ有楽町線/麹町駅 歩3分\n東京メトロ半蔵門線/半蔵門駅 歩6分\n東京メトロ有楽町線/市ケ谷駅 歩8分'],45万円,,
ＪＲ総武線快速 馬喰町駅 12階建 築6年,東京都千代田区東神田２,['ＪＲ総武線快速/馬喰町駅 歩5分\n都営新宿線/岩本町駅 歩6分\nＪＲ山手線/秋葉原駅 歩8分'],11万円,,
ＨＯＲＩビル,東京都中央区日本橋馬喰町２,['ＪＲ総武線快速/馬喰町駅 歩8分\nＪＲ山手線/神田駅 歩17分\nＪＲ総武線/浅草橋駅 歩5分'],7.3万円,,
東京メトロ日比谷線 茅場町駅 7階建 築10年,東京都中央区新川２,['東京メトロ日比谷線/茅場町駅 歩10分\nＪＲ京葉線/八丁堀駅 歩4分\n東京メトロ日比谷線/八丁堀駅 歩4分'],14.4万円,,
ＪＲ山手線 神田駅 14階建 築5年,東京都千代田区内神田３,['ＪＲ山手線/神田駅 歩3分\nＪＲ山手線/東京駅 歩12分\n東京メトロ東西線/大手町駅 歩6分'],15.5万円,,
メゾンブランシュ,東京都中央区月島２,['東京メトロ有楽町線/月島駅 歩4分\n都営大江戸線/月島駅 歩4分\n都営大江戸線/勝どき駅 歩12分'],20万円,,
カーサグランデ日本橋小網町,東京都中央区日本橋小網町,['東京メトロ日比谷線/人形町駅 歩4分\n東京メトロ東西線/茅場町駅 歩7分\n東京メトロ半蔵門線/水天宮前駅 歩7分'],19万円,,
東京メトロ日比谷線 人形町駅 7階建 築7年,東京都中央区日本橋小網町,['東京メトロ日比谷線/人形町駅 歩5分\n都営浅草線/日本橋駅 歩8分\n東京メトロ半蔵門線/水天宮前駅 歩9分'],19万円,,
都営浅草線 東銀座駅 10階建 新築,東京都中央区八丁堀１,['都営浅草線/東銀座駅 歩15分\n東京メトロ銀座線/銀座駅 歩18分\nＪＲ山手線/東京駅 歩10分'],13.8万円,,
東京メトロ半蔵門線 水天宮前駅 地下1地上11階建 築20年,東京都中央区日本橋箱崎町,['東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ日比谷線/人形町駅 歩9分\n東京メトロ日比谷線/茅場町駅 歩10分'],27.4万円,,
パークハウス・ジオ六番町,東京都千代田区六番町,['ＪＲ中央線/四ツ谷駅 歩4分\n都営新宿線/市ケ谷駅 歩9分\n東京メトロ丸ノ内線/四ツ谷駅 歩6分'],79万円,,
都営大江戸線 勝どき駅 地下1地上26階建 築27年,東京都中央区勝どき３,['都営大江戸線/勝どき駅 歩3分\n都営大江戸線/築地市場駅 歩19分\n東京メトロ日比谷線/築地駅 歩16分'],25.1万円,,
東京メトロ有楽町線 月島駅 15階建 築13年,東京都中央区月島１,['東京メトロ有楽町線/月島駅 歩6分\n都営大江戸線/月島駅 歩6分\n東京メトロ日比谷線/築地駅 歩11分'],30.3万円,,
Brillia WELLITH,東京都中央区月島１,['東京メトロ有楽町線/月島駅 歩6分\n都営大江戸線/勝どき駅 歩12分\n東京メトロ日比谷線/築地駅 歩15分'],30.3万円,,
東京メトロ日比谷線 人形町駅 10階建 築2年,東京都中央区日本橋堀留町１,['東京メトロ日比谷線/人形町駅 歩4分\n東京メトロ半蔵門線/三越前駅 歩8分\nＪＲ総武線快速/新日本橋駅 歩9分'],30万円,,
ＪＲ山手線 神田駅 13階建 築4年,東京都千代田区東神田１,['ＪＲ山手線/神田駅 歩12分\n東京メトロ日比谷線/秋葉原駅 歩7分\n都営新宿線/岩本町駅 歩6分'],21.5万円,,
ルネサンスコート秋葉原,東京都千代田区東神田１,['ＪＲ総武線快速/馬喰町駅 歩4分\n都営新宿線/馬喰横山駅 歩6分\nＪＲ山手線/秋葉原駅 歩9分'],21.8万円,,
プレミスト日本橋浜町公園,東京都中央区日本橋浜町２,['都営新宿線/浜町駅 歩2分\n都営浅草線/東日本橋駅 歩7分\n東京メトロ日比谷線/人形町駅 歩8分'],32万円,,
ＪＲ山手線 神田駅 11階建 築22年,東京都千代田区岩本町３,['ＪＲ山手線/神田駅 歩12分\nＪＲ山手線/秋葉原駅 歩6分\n都営新宿線/岩本町駅 歩3分'],8.2万円,,
東京メトロ半蔵門線 水天宮前駅 11階建 築11年,東京都中央区日本橋蛎殻町２,['東京メトロ半蔵門線/水天宮前駅 歩4分\n東京メトロ日比谷線/人形町駅 歩6分\n都営新宿線/浜町駅 歩10分'],25万円,,
オープンレジデンシア日本橋水天宮,東京都中央区日本橋蛎殻町２,['東京メトロ半蔵門線/水天宮前駅 歩4分\n都営浅草線/人形町駅 歩6分\n都営新宿線/浜町駅 歩10分'],25万円,,
ＪＲ山手線 神田駅 11階建 築22年,東京都千代田区岩本町３,['ＪＲ山手線/神田駅 歩12分\nＪＲ山手線/秋葉原駅 歩6分\n都営新宿線/岩本町駅 歩3分'],8.2万円,,
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　A棟,東京都中央区晴海５,['都営大江戸線/勝どき駅 歩15分\n新交通ゆりかもめ/竹芝駅 歩43分\n新交通ゆりかもめ/日の出駅 歩50分'],45.8万円,,
東京メトロ日比谷線 八丁堀駅 9階建 築20年,東京都中央区八丁堀４,['東京メトロ日比谷線/八丁堀駅 歩4分\n都営浅草線/宝町駅 歩5分\nＪＲ京葉線/東京駅 歩12分'],16.5万円,,
Ｆｅｌｉｃｅ　Ｐｒｅｎｄｒｅ,東京都千代田区東神田１,['ＪＲ総武線快速/馬喰町駅 歩4分\n都営新宿線/岩本町駅 歩7分\nＪＲ山手線/秋葉原駅 歩10分'],23万円,,
東京メトロ有楽町線 月島駅 8階建 築10年,東京都中央区月島４,['東京メトロ有楽町線/月島駅 歩4分\n都営大江戸線/勝どき駅 歩10分\n東京メトロ日比谷線/築地駅 歩25分'],24万円,,
ウィルローズ日本橋水天宮,東京都中央区日本橋蛎殻町１,['東京メトロ半蔵門線/水天宮前駅 歩4分\n東京メトロ日比谷線/人形町駅 歩7分\n都営浅草線/人形町駅 歩7分'],27.3万円,,
ソフトタウン晴海,東京都中央区晴海２,['都営大江戸線/勝どき駅 歩9分\n新交通ゆりかもめ/新豊洲駅 歩14分\n東京メトロ有楽町線/月島駅 歩18分'],14万円,,
パークホームズ日本橋浜町二丁目ローレルアイ,東京都中央区日本橋浜町２,['都営新宿線/浜町駅 歩4分\n東京メトロ半蔵門線/水天宮前駅 歩6分\n東京メトロ日比谷線/人形町駅 歩6分'],26万円,,
ＦＵＳＩＯＮ日本橋箱崎,東京都中央区日本橋箱崎町,['東京メトロ半蔵門線/水天宮前駅 歩4分\n東京メトロ日比谷線/人形町駅 歩10分\n都営新宿線/浜町駅 歩14分'],24万円,,
東京メトロ日比谷線 秋葉原駅 12階建 築9年,東京都千代田区東神田２,['東京メトロ日比谷線/秋葉原駅 歩9分\nＪＲ総武線快速/馬喰町駅 歩6分\n都営新宿線/岩本町駅 歩7分'],14.6万円,,
東京メトロ日比谷線 築地駅 12階建 築10年,東京都中央区築地７,['東京メトロ日比谷線/築地駅 歩4分\n東京メトロ有楽町線/新富町駅 歩8分\n都営大江戸線/築地市場駅 歩12分'],28万円,,
パークホームズ築地グリーンサイド,東京都中央区築地７,['東京メトロ日比谷線/築地駅 歩4分\nＪＲ京葉線/八丁堀駅 歩12分\n東京メトロ日比谷線/東銀座駅 歩9分'],27万円,,
ウィルローズ小伝馬町,東京都千代田区東神田１,['ＪＲ総武線快速/馬喰町駅 歩4分\n東京メトロ日比谷線/小伝馬町駅 歩5分\nＪＲ山手線/神田駅 歩14分'],29万円,,
東京メトロ銀座線 神田駅 5階建 築7年,東京都千代田区外神田５,['東京メトロ銀座線/神田駅 歩14分\nＪＲ山手線/秋葉原駅 歩9分\n東京メトロ千代田線/湯島駅 歩5分'],10.3万円,,
クロスレジデンス日本橋浜町,東京都中央区日本橋浜町１,['都営新宿線/浜町駅 歩3分\n都営浅草線/東日本橋駅 歩4分'],12.4万円,,
都営新宿線 浜町駅 10階建 築4年,東京都中央区日本橋浜町１,['都営新宿線/浜町駅 歩4分\nＪＲ総武線快速/馬喰町駅 歩11分\n都営浅草線/東日本橋駅 歩6分'],12.4万円,,
都営新宿線 浜町駅 10階建 築4年,東京都中央区日本橋浜町１,['都営新宿線/浜町駅 歩4分\nＪＲ総武線快速/馬喰町駅 歩9分\n都営浅草線/東日本橋駅 歩6分'],23.8万円,,
